"Flug";"Number";"Time_ms";"GPS_lat";"GPS_lon";"GPS_height";"GPS_fix";"Photo";"crc"
204;1;251;0,0;0,0;0,0;0;0;0
204;2;477;0,0;0,0;0,0;0;0;0
204;3;509;0,0;0,0;0,0;0;0;0
204;4;529;0,0;0,0;0,0;0;0;0
204;5;549;0,0;0,0;0,0;0;0;0
204;6;569;0,0;0,0;0,0;0;0;0
204;7;595;0,0;0,0;0,0;0;0;0
204;8;616;0,0;0,0;0,0;0;0;0
204;9;639;0,0;0,0;0,0;0;0;0
204;10;660;0,0;0,0;0,0;0;0;0
204;11;681;0,0;0,0;0,0;0;0;0
204;12;708;0,0;0,0;0,0;0;0;0
204;13;729;0,0;0,0;0,0;0;0;0
204;14;750;0,0;0,0;0,0;0;0;0
204;15;771;0,0;0,0;0,0;0;0;0
204;16;792;0,0;0,0;0,0;0;0;0
204;17;813;0,0;0,0;0,0;0;0;0
204;18;834;0,0;0,0;0,0;0;0;0
204;19;855;0,0;0,0;0,0;0;0;0
204;20;876;0,0;0,0;0,0;0;0;0
204;21;897;0,0;0,0;0,0;0;0;0
204;22;918;0,0;0,0;0,0;0;0;0
204;23;945;0,0;0,0;0,0;0;0;0
204;24;966;0,0;0,0;0,0;0;0;0
204;25;987;0,0;0,0;0,0;0;0;0
204;26;1008;0,0;0,0;0,0;0;0;0
204;27;1029;0,0;0,0;0,0;0;0;0
204;28;1056;0,0;0,0;0,0;0;0;0
204;29;1077;0,0;0,0;0,0;0;0;0
204;30;1098;0,0;0,0;0,0;0;0;0
204;31;1119;0,0;0,0;0,0;0;0;0
204;32;1140;0,0;0,0;0,0;0;0;0
204;33;1161;0,0;0,0;0,0;0;0;0
204;34;1182;0,0;0,0;0,0;0;0;0
204;35;1203;0,0;0,0;0,0;0;0;0
204;36;1224;0,0;0,0;0,0;0;0;0
204;37;1245;0,0;0,0;0,0;0;0;0
204;38;1266;0,0;0,0;0,0;0;0;0
204;39;1292;0,0;0,0;0,0;0;0;0
204;40;1312;0,0;0,0;0,0;0;0;0
204;41;1333;0,0;0,0;0,0;0;0;0
204;42;1353;0,0;0,0;0,0;0;0;0
204;43;1373;0,0;0,0;0,0;0;0;0
204;44;1398;0,0;0,0;0,0;0;0;0
204;45;1418;0,0;0,0;0,0;0;0;0
204;46;1438;0,0;0,0;0,0;0;0;0
204;47;1458;0,0;0,0;0,0;0;0;0
204;48;1478;0,0;0,0;0,0;0;0;0
204;49;1498;0,0;0,0;0,0;0;0;0
204;50;1519;0,0;0,0;0,0;0;0;0
204;51;1540;0,0;0,0;0,0;0;0;0
204;52;1561;0,0;0,0;0,0;0;0;0
204;53;1582;0,0;0,0;0,0;0;0;0
204;54;1603;0,0;0,0;0,0;0;0;0
204;55;1630;0,0;0,0;0,0;0;0;0
204;56;1651;0,0;0,0;0,0;0;0;0
204;57;1672;0,0;0,0;0,0;0;0;0
204;58;1693;0,0;0,0;0,0;0;0;0
204;59;1714;0,0;0,0;0,0;0;0;0
204;60;1741;0,0;0,0;0,0;0;0;0
204;61;1762;0,0;0,0;0,0;0;0;0
204;62;1783;0,0;0,0;0,0;0;0;0
204;63;1804;0,0;0,0;0,0;0;0;0
204;64;1825;0,0;0,0;0,0;0;0;0
204;65;1846;0,0;0,0;0,0;0;0;0
204;66;1867;0,0;0,0;0,0;0;0;0
204;67;1902;0,0;0,0;0,0;0;0;0
204;68;1924;0,0;0,0;0,0;0;0;0
204;69;1945;0,0;0,0;0,0;0;0;0
204;70;1966;0,0;0,0;0,0;0;0;0
204;71;1993;0,0;0,0;0,0;0;0;0
204;72;2014;0,0;0,0;0,0;0;0;0
204;73;2035;0,0;0,0;0,0;0;0;0
204;74;2056;0,0;0,0;0,0;0;0;0
204;75;2077;0,0;0,0;0,0;0;0;0
204;76;2104;0,0;0,0;0,0;0;0;0
204;77;2125;0,0;0,0;0,0;0;0;0
204;78;2146;0,0;0,0;0,0;0;0;0
204;79;2167;0,0;0,0;0,0;0;0;0
204;80;2188;0,0;0,0;0,0;0;0;0
204;81;2209;0,0;0,0;0,0;0;0;0
204;82;2229;0,0;0,0;0,0;0;0;0
204;83;2249;0,0;0,0;0,0;0;0;0
204;84;2269;0,0;0,0;0,0;0;0;0
204;85;2289;0,0;0,0;0,0;0;0;0
204;86;2309;0,0;0,0;0,0;0;0;0
204;87;2334;0,0;0,0;0,0;0;0;0
204;88;2354;0,0;0,0;0,0;0;0;0
204;89;2374;0,0;0,0;0,0;0;0;0
204;90;2394;0,0;0,0;0,0;0;0;0
204;91;2414;0,0;0,0;0,0;0;0;0
204;92;2440;0,0;0,0;0,0;0;0;0
204;93;2461;0,0;0,0;0,0;0;0;0
204;94;2482;0,0;0,0;0,0;0;0;0
204;95;2503;0,0;0,0;0,0;0;0;0
204;96;2524;0,0;0,0;0,0;0;0;0
204;97;2545;0,0;0,0;0,0;0;0;0
204;98;2566;0,0;0,0;0,0;0;0;0
204;99;2587;0,0;0,0;0,0;0;0;0
204;100;2608;0,0;0,0;0,0;0;0;0
204;101;2629;0,0;0,0;0,0;0;0;0
204;102;2650;0,0;0,0;0,0;0;0;0
204;103;2677;0,0;0,0;0,0;0;0;0
204;104;2698;0,0;0,0;0,0;0;0;0
204;105;2719;0,0;0,0;0,0;0;0;0
204;106;2740;0,0;0,0;0,0;0;0;0
204;107;2761;0,0;0,0;0,0;0;0;0
204;108;2788;0,0;0,0;0,0;0;0;0
204;109;2809;0,0;0,0;0,0;0;0;0
204;110;2830;0,0;0,0;0,0;0;0;0
204;111;2851;0,0;0,0;0,0;0;0;0
204;112;2872;0,0;0,0;0,0;0;0;0
204;113;2893;0,0;0,0;0,0;0;0;0
204;114;2914;0,0;0,0;0,0;0;0;0
204;115;2935;0,0;0,0;0,0;0;0;0
204;116;2956;0,0;0,0;0,0;0;0;0
204;117;2977;0,0;0,0;0,0;0;0;0
204;118;2998;0,0;0,0;0,0;0;0;0
204;119;3025;0,0;0,0;0,0;0;0;0
204;120;3046;0,0;0,0;0,0;0;0;0
204;121;3067;0,0;0,0;0,0;0;0;0
204;122;3088;0,0;0,0;0,0;0;0;0
204;123;3109;0,0;0,0;0,0;0;0;0
204;124;3135;0,0;0,0;0,0;0;0;0
204;125;3155;0,0;0,0;0,0;0;0;0
204;126;3175;0,0;0,0;0,0;0;0;0
204;127;3195;0,0;0,0;0,0;0;0;0
204;128;3215;0,0;0,0;0,0;0;0;0
204;129;3235;0,0;0,0;0,0;0;0;0
204;130;3255;0,0;0,0;0,0;0;0;0
204;131;3275;0,0;0,0;0,0;0;0;0
204;132;3295;0,0;0,0;0,0;0;0;0
204;133;3315;0,0;0,0;0,0;0;0;0
204;134;3335;0,0;0,0;0,0;0;0;0
204;135;3361;0,0;0,0;0,0;0;0;0
204;136;3382;0,0;0,0;0,0;0;0;0
204;137;3403;0,0;0,0;0,0;0;0;0
204;138;3424;0,0;0,0;0,0;0;0;0
204;139;3445;0,0;0,0;0,0;0;0;0
204;140;3472;0,0;0,0;0,0;0;0;0
204;141;3493;0,0;0,0;0,0;0;0;0
204;142;3514;0,0;0,0;0,0;0;0;0
204;143;3535;0,0;0,0;0,0;0;0;0
204;144;3556;0,0;0,0;0,0;0;0;0
204;145;3577;0,0;0,0;0,0;0;0;0
204;146;3598;0,0;0,0;0,0;0;0;0
204;147;3619;0,0;0,0;0,0;0;0;0
204;148;3640;0,0;0,0;0,0;0;0;0
204;149;3661;0,0;0,0;0,0;0;0;0
204;150;3682;0,0;0,0;0,0;0;0;0
204;151;3709;0,0;0,0;0,0;0;0;0
204;152;3730;0,0;0,0;0,0;0;0;0
204;153;3751;0,0;0,0;0,0;0;0;0
204;154;3772;0,0;0,0;0,0;0;0;0
204;155;3793;0,0;0,0;0,0;0;0;0
204;156;3820;0,0;0,0;0,0;0;0;0
204;157;3841;0,0;0,0;0,0;0;0;0
204;158;3862;0,0;0,0;0,0;0;0;0
204;159;3883;0,0;0,0;0,0;0;0;0
204;160;3904;0,0;0,0;0,0;0;0;0
204;161;3925;0,0;0,0;0,0;0;0;0
204;162;3946;0,0;0,0;0,0;0;0;0
204;163;3967;0,0;0,0;0,0;0;0;0
204;164;3988;0,0;0,0;0,0;0;0;0
204;165;4009;0,0;0,0;0,0;0;0;0
204;166;4030;0,0;0,0;0,0;0;0;0
204;167;4056;0,0;0,0;0,0;0;0;0
204;168;4076;0,0;0,0;0,0;0;0;0
204;169;4096;0,0;0,0;0,0;0;0;0
204;170;4116;0,0;0,0;0,0;0;0;0
204;171;4136;0,0;0,0;0,0;0;0;0
204;172;4161;0,0;0,0;0,0;0;0;0
204;173;4181;0,0;0,0;0,0;0;0;0
204;174;4201;0,0;0,0;0,0;0;0;0
204;175;4221;0,0;0,0;0,0;0;0;0
204;176;4241;0,0;0,0;0,0;0;0;0
204;177;4261;0,0;0,0;0,0;0;0;0
204;178;4282;0,0;0,0;0,0;0;0;0
204;179;4303;0,0;0,0;0,0;0;0;0
204;180;4324;0,0;0,0;0,0;0;0;0
204;181;4345;0,0;0,0;0,0;0;0;0
204;182;4366;0,0;0,0;0,0;0;0;0
204;183;4393;0,0;0,0;0,0;0;0;0
204;184;4414;0,0;0,0;0,0;0;0;0
204;185;4435;0,0;0,0;0,0;0;0;0
204;186;4458;0,0;0,0;0,0;0;0;0
204;187;4479;0,0;0,0;0,0;0;0;0
204;188;4506;0,0;0,0;0,0;0;0;0
204;189;4527;0,0;0,0;0,0;0;0;0
204;190;4548;0,0;0,0;0,0;0;0;0
204;191;4569;0,0;0,0;0,0;0;0;0
204;192;4590;0,0;0,0;0,0;0;0;0
204;193;4611;0,0;0,0;0,0;0;0;0
204;194;4632;0,0;0,0;0,0;0;0;0
204;195;4653;0,0;0,0;0,0;0;0;0
204;196;4674;0,0;0,0;0,0;0;0;0
204;197;4695;0,0;0,0;0,0;0;0;0
204;198;4716;0,0;0,0;0,0;0;0;0
204;199;4743;0,0;0,0;0,0;0;0;0
204;200;4764;0,0;0,0;0,0;0;0;0
204;201;4785;0,0;0,0;0,0;0;0;0
204;202;4806;0,0;0,0;0,0;0;0;0
204;203;4827;0,0;0,0;0,0;0;0;0
204;204;4854;0,0;0,0;0,0;0;0;0
204;205;4875;0,0;0,0;0,0;0;0;0
204;206;4896;0,0;0,0;0,0;0;0;0
204;207;4917;0,0;0,0;0,0;0;0;0
204;208;4938;0,0;0,0;0,0;0;0;0
204;209;4959;0,0;0,0;0,0;0;0;0
204;210;4979;0,0;0,0;0,0;0;0;0
204;211;4999;0,0;0,0;0,0;0;0;0
204;212;5019;0,0;0,0;0,0;0;0;0
204;213;5039;0,0;0,0;0,0;0;0;0
204;214;5059;0,0;0,0;0,0;0;0;0
204;215;5084;0,0;0,0;0,0;0;0;0
204;216;5104;0,0;0,0;0,0;0;0;0
204;217;5124;0,0;0,0;0,0;0;0;0
204;218;5144;0,0;0,0;0,0;0;0;0
204;219;5164;0,0;0,0;0,0;0;0;0
204;220;5190;0,0;0,0;0,0;0;0;0
204;221;5211;0,0;0,0;0,0;0;0;0
204;222;5232;0,0;0,0;0,0;0;0;0
204;223;5253;0,0;0,0;0,0;0;0;0
204;224;5274;0,0;0,0;0,0;0;0;0
204;225;5295;0,0;0,0;0,0;0;0;0
204;226;5316;0,0;0,0;0,0;0;0;0
204;227;5337;0,0;0,0;0,0;0;0;0
204;228;5358;0,0;0,0;0,0;0;0;0
204;229;5379;0,0;0,0;0,0;0;0;0
204;230;5400;0,0;0,0;0,0;0;0;0
204;231;5427;0,0;0,0;0,0;0;0;0
204;232;5448;0,0;0,0;0,0;0;0;0
204;233;5469;0,0;0,0;0,0;0;0;0
204;234;5490;0,0;0,0;0,0;0;0;0
204;235;5511;0,0;0,0;0,0;0;0;0
204;236;5538;0,0;0,0;0,0;0;0;0
204;237;5559;0,0;0,0;0,0;0;0;0
204;238;5580;0,0;0,0;0,0;0;0;0
204;239;5601;0,0;0,0;0,0;0;0;0
204;240;5622;0,0;0,0;0,0;0;0;0
204;241;5643;0,0;0,0;0,0;0;0;0
204;242;5664;0,0;0,0;0,0;0;0;0
204;243;5685;0,0;0,0;0,0;0;0;0
204;244;5706;0,0;0,0;0,0;0;0;0
204;245;5727;0,0;0,0;0,0;0;0;0
204;246;5748;0,0;0,0;0,0;0;0;0
204;247;5775;0,0;0,0;0,0;0;0;0
204;248;5796;0,0;0,0;0,0;0;0;0
204;249;5817;0,0;0,0;0,0;0;0;0
204;250;5838;0,0;0,0;0,0;0;0;0
204;251;5859;0,0;0,0;0,0;0;0;0
204;252;5885;0,0;0,0;0,0;0;0;0
204;253;5905;0,0;0,0;0,0;0;0;0
204;254;5925;0,0;0,0;0,0;0;0;0
204;255;5945;0,0;0,0;0,0;0;0;0
204;256;5965;0,0;0,0;0,0;0;0;0
204;257;5985;0,0;0,0;0,0;0;0;0
204;258;6005;0,0;0,0;0,0;0;0;0
204;259;6025;0,0;0,0;0,0;0;0;0
204;260;6045;0,0;0,0;0,0;0;0;0
204;261;6065;0,0;0,0;0,0;0;0;0
204;262;6085;0,0;0,0;0,0;0;0;0
204;263;6111;0,0;0,0;0,0;0;0;0
204;264;6132;0,0;0,0;0,0;0;0;0
204;265;6153;0,0;0,0;0,0;0;0;0
204;266;6174;0,0;0,0;0,0;0;0;0
