"Flug";"Number";"Time_ms";"GPS_lat";"GPS_lon";"GPS_height";"GPS_fix";"Photo";"crc"
204;1;450;0,0;0,0;0,0;0;60280;0
204;2;564;0,0;0,0;0,0;0;64280;7753
204;3;595;0,0;0,0;0,0;0;1280;36417
204;4;615;0,0;0,0;0,0;0;44280;17517
204;5;634;0,0;0,0;0,0;0;5280;60350
204;6;653;0,0;0,0;0,0;0;1280;43502
204;7;688;0,0;0,0;0,0;0;56280;57854
204;8;708;0,0;0,0;0,0;0;60280;54508
204;9;728;0,0;0,0;0,0;0;60280;57531
204;10;748;0,0;0,0;0,0;0;17280;56625
204;11;769;0,0;0,0;0,0;0;48280;1400
204;12;802;0,0;0,0;0,0;0;16280;33196
204;13;822;0,0;0,0;0,0;0;50816;15229
204;14;842;0,0;0,0;0,0;0;32280;25125
204;15;862;0,0;0,0;0,0;0;32280;62013
204;16;882;0,0;0,0;0,0;0;50816;24457
204;17;909;0,0;0,0;0,0;0;17280;6328
204;18;929;0,0;0,0;0,0;0;10744;42264
204;19;949;0,0;0,0;0,0;0;62744;16292
204;20;969;0,0;0,0;0,0;0;62208;34899
204;21;989;0,0;0,0;0,0;0;600;8829
204;22;1016;0,0;0,0;0,0;0;7064;63457
204;23;1042;0,0;0,0;0,0;0;25600;64044
204;24;1062;0,0;0,0;0,0;0;24600;52755
204;25;1082;0,0;0,0;0,0;0;40136;55875
204;26;1103;0,0;0,0;0,0;0;59672;56445
204;27;1130;0,0;0,0;0,0;0;19672;36544
204;28;1156;0,0;0,0;0,0;0;34208;24215
204;29;1176;0,0;0,0;0,0;0;31744;55739
204;30;1196;0,0;0,0;0,0;0;42744;34681
204;31;1216;0,0;0,0;0,0;0;14744;485
204;32;1243;0,0;0,0;0,0;0;32280;54400
204;33;1263;0,0;0,0;0,0;0;59352;24792
204;34;1283;0,0;0,0;0,0;0;27352;43282
204;35;1303;0,0;0,0;0,0;0;3352;39963
204;36;1323;0,0;0,0;0,0;0;52888;15290
204;37;1350;0,0;0,0;0,0;0;36888;18507
204;38;1370;0,0;0,0;0,0;0;5888;39662
204;39;1395;0,0;0,0;0,0;0;50888;30492
204;40;1414;0,0;0,0;0,0;0;64888;51408
204;41;1434;0,0;0,0;0,0;0;19352;585
204;42;1460;0,0;0,0;0,0;0;35352;59500
