"Flug";"Number";"Time_ms";"Gyro x";"Gyro y";"Gyro z";"Accel x";"Accel y";"Accel z";"Mag x";"Mag y";"Mag z";"Status";"crc"
187;1;450;-40,46;58,87;3,64;0,80764;-0,333304;-0,405528;0,20806545879602573;-1,1542957334891877;-1,0841613091759206;0;0
187;2;564;11,06;25,41;19,18;1,075064;-0,33769600000000005;-0,232776;0,3109292811221508;-1,278199883109293;-1,136177673874927;0;9400
187;3;595;12,04;10,57;-11,2;1,047248;-0,304024;-0,321592;0,30099357101110463;-1,2729398012857978;-1,1373465809468146;0;12516
187;4;615;19,18;-6,02;-36,26;0,945256;-0,25864;-0,389424;0,3021624780829924;-1,2706019871420222;-1,1373465809468146;0;41673
187;5;634;12,81;-21,0;-45,64;0,945744;-0,27718400000000004;-0,308904;0,30917592051431914;-1,2764465225014612;-1,1396843950905904;0;23958
187;6;653;-3,71;-23,17;-40,39;0,91012;-0,310368;-0,24644;0,30683810637054354;-1,281706604324956;-1,1396843950905904;0;63740
187;7;688;-3,99;-3,99;-24,36;0,894504;-0,26400799999999996;-0,245464;0,3196960841613092;-1,2974868497954413;-1,1385154880187025;0;22954
187;8;708;2,8;-3,64;-15,12;0,872056;-0,27474400000000004;-0,2562;0,3085914669783752;-1,2834599649327878;-1,1396843950905904;0;29732
187;9;728;7,35;-3,15;-8,89;0,890112;-0,263032;-0,23424;0,31443600233781416;-1,2846288720046757;-1,1396843950905904;0;34229
187;10;748;8,96;5,04;-9,24;0,905728;-0,260104;-0,223992;0,31268264172998245;-1,281706604324956;-1,1426066627703098;0;34559
187;11;769;9,66;1,89;-12,53;0,855464;-0,28938400000000003;-0,245464;0,3109292811221508;-1,2793687901811805;-1,146697837521917;0;48711
187;12;802;19,18;-33,74;-17,99;0,863272;-0,26205599999999996;-0,27474400000000004;0,3109292811221508;-1,2437171244886032;-1,157218001168907;0;22025
187;13;822;21,56;-48,09;-22,19;0,856928;-0,26839999999999997;-0,30744;0,3255406195207481;-1,2741087083576856;-1,1390999415546463;0;55414
187;14;842;22,26;-55,37;-26,53;0,854;-0,2928;-0,295728;0,3220338983050847;-1,2706019871420222;-1,1396843950905904;0;12222
187;15;862;26,67;-63,21;-32,06;0,801296;-0,310368;-0,33427999999999997;0,3272939801285798;-1,2746931618936295;-1,1344243132670953;0;61780
187;16;882;33,74;-106,82;-36,05;0,7720159999999999;-0,292312;-0,4026;0,3308007013442431;-1,2834599649327878;-1,135008766803039;0;14521
187;17;909;49,42;-195,09;-50,54;0,777384;-0,27718400000000004;-0,482632;0,34015195791934544;-1,2922267679719461;-1,1022793687901813;0;37619
187;18;929;58,03;-252,77;-70,28;0,76128;-0,24888;-0,5582720000000001;0,3565166569257744;-1,281706604324956;-1,0993571011104617;0;56540
187;19;949;61,32;-307,93;-99,96;0,682712;-0,233264;-0,608048;0,37405026300409117;-1,2904734073641146;-1,065458796025716;0;6648
187;20;969;54,18;-355,6;-140,21;0,530944;-0,174216;-0,7080879999999999;0,39333722969023965;-1,2951490356516657;-1,0426651081239042;0;29954
187;21;989;34,09;-381,29;-175,28;0,523624;-0,24644;-0,6500159999999999;0,4202220923436587;-1,3027469316189364;-1,0140268848626535;0;21754
187;22;1016;-1,33;-372,33;-217,42;0,486536;-0,27132799999999996;-0,688568;0,4605493863237873;-1,320864991233197;-0,9760374050263004;0;41432
187;23;1042;-0,42;-324,1;-249,41;0,551928;-0,12444;-0,779336;0,49561659848042083;-1,3383985973115138;-0,9520748100526009;0;41914
187;24;1062;10,5;-285,6;-269,92;0,432856;-0,029768;-0,780312;0,5371127995324372;-1,3518410286382232;-0,9275277615429574;0;5841
187;25;1082;11,48;-229,88;-277,34;0,391864;-0,062952;-0,692472;0,5721800116890707;-1,3594389246054939;-0,9234365867913501;0;59227
187;26;1103;-6,16;-192,5;-262,01;0,32696;-0,140056;-0,6500159999999999;0,5786090005844535;-1,3576855639976622;-0,9210987726475746;0;58434
187;27;1130;-10,22;-130,62;-219,31;0,220088;-0,098088;-0,69784;0,6049094097019287;-1,3670368205727645;-0,9187609585037989;0;19999
187;28;1156;26,53;-75,39;-171,08;0,117608;0,16836;-0,9389120000000001;0,6148451198129748;-1,3734658094681473;-0,9158386908240795;0;63977
187;29;1176;40,67;-75,67;-145,81;0,026352;0,052216;-0,957456;0,619520748100526;-1,3635300993571011;-0,9193454120397428;0;16833
187;30;1196;41,65;-74,62;-128,94;-0,112728;-0,11468;-0,908168;0,6241963763880771;-1,3571011104617183;-0,9210987726475746;0;16526
187;31;1216;42,07;-59,43;-112,56;-0,02196;-0,18934399999999998;-0,91988;0,6271186440677966;-1,34833430742256;-0,9199298655756867;0;4286
187;32;1243;59,85;-47,11;-78,68;0,030256;-0,054168;-1,140456;0,6288720046756283;-1,3389830508474576;-0,9222676797194623;0;4999
187;33;1263;72,17;-81,34;-73,01;-0,16787200000000002;0,19519999999999998;-1,281488;0,6388077147866744;-1,3243717124488603;-0,9322033898305084;0;22868
187;34;1283;65,45;-106,47;-67,69;-0,225456;0,025376000000000003;-1,1941359999999999;0,6487434248977206;-1,3027469316189364;-0,9310344827586207;0;9296
187;35;1303;45,99;-82,32;-59,5;-0,206912;-0,17324;-1,0340719999999999;0,6540035067212157;-1,287551139684395;-0,9392168322618352;0;41914
187;36;1323;25,34;-59,29;-43,68;-0,196176;-0,28694400000000003;-1,064328;0,6616014026884862;-1,2776154295733488;-0,9468147282291058;0;59084
187;37;1350;29,61;-37,73;-21,0;-0,17372800000000002;-0,020496;-1,275632;0,6627703097603741;-1,2764465225014612;-0,9479836353009936;0;823
