"Flug";"Number";"Time_ms";"GPS_lat";"GPS_lon";"GPS_height";"GPS_fix";"Photo";"crc"
204;4;4408;0,0;0,0;0,0;0;0;44085
204;4;4408;0,0;0,0;0,0;0;0;44085
204;4;4408;0,0;0,0;0,0;0;0;44085
204;4;4408;0,0;0,0;0,0;0;0;44085
204;7;6939;0,0;0,0;0,0;0;0;53656
204;7;6939;0,0;0,0;0,0;0;0;53656
204;7;6939;0,0;0,0;0,0;0;0;53656
204;7;6939;0,0;0,0;0,0;0;0;53656
204;7;6939;0,0;0,0;0,0;0;0;53656
204;10;9471;0,0;0,0;0,0;0;0;53537
204;10;9471;0,0;0,0;0,0;0;0;53537
204;10;9471;0,0;0,0;0,0;0;0;53537
204;10;9471;0,0;0,0;0,0;0;0;53537
204;13;12002;0,0;0,0;0,0;0;0;61422
204;13;12002;0,0;0,0;0,0;0;0;61422
204;13;12002;0,0;0,0;0,0;0;0;61422
204;13;12002;0,0;0,0;0,0;0;0;61422
204;13;12002;0,0;0,0;0,0;0;0;61422
204;16;14418;0,0;0,0;0,0;0;0;11309
204;16;14418;0,0;0,0;0,0;0;0;11309
204;16;14418;0,0;0,0;0,0;0;0;11309
204;16;14418;0,0;0,0;0,0;0;0;11309
204;19;16949;0,0;0,0;0,0;0;0;9300
204;19;16949;0,0;0,0;0,0;0;0;9300
204;19;16949;0,0;0,0;0,0;0;0;9300
204;19;16949;0,0;0,0;0,0;0;0;9300
204;19;16949;0,0;0,0;0,0;0;0;9300
204;22;19481;0,0;0,0;0,0;0;0;57097
204;22;19481;0,0;0,0;0,0;0;0;57097
204;22;19481;0,0;0,0;0,0;0;0;57097
204;22;19481;0,0;0,0;0,0;0;0;57097
204;25;22012;0,0;0,0;0,0;0;0;20313
204;25;22012;0,0;0,0;0,0;0;0;20313
204;25;22012;0,0;0,0;0,0;0;0;20313
204;25;22012;0,0;0,0;0,0;0;0;20313
204;28;24434;0,0;0,0;0,0;0;0;6863
204;28;24434;0,0;0,0;0,0;0;0;6863
204;28;24434;0,0;0,0;0,0;0;0;6863
204;28;24434;0,0;0,0;0,0;0;0;6863
204;28;24434;0,0;0,0;0,0;0;0;6863
204;31;26965;0,0;0,0;0,0;0;0;10645
204;31;26965;0,0;0,0;0,0;0;0;10645
204;31;26965;0,0;0,0;0,0;0;0;10645
204;31;26965;0,0;0,0;0,0;0;0;10645
204;34;29497;0,0;0,0;0,0;0;0;24036
204;34;29497;0,0;0,0;0,0;0;0;24036
204;34;29497;0,0;0,0;0,0;0;0;24036
204;34;29497;0,0;0,0;0,0;0;0;24036
204;34;29497;0,0;0,0;0,0;0;0;24036
204;37;32028;0,0;0,0;0,0;0;0;21333
204;37;32028;0,0;0,0;0,0;0;0;21333
204;37;32028;0,0;0,0;0,0;0;0;21333
204;37;32028;0,0;0,0;0,0;0;0;21333
204;40;34559;0,0;0,0;0,0;0;0;34260
204;40;34559;0,0;0,0;0,0;0;0;34260
204;40;34559;0,0;0,0;0,0;0;0;34260
204;40;34559;0,0;0,0;0,0;0;0;34260
204;43;36972;0,0;0,0;0,0;0;0;51552
204;43;36972;0,0;0,0;0,0;0;0;51552
204;43;36972;0,0;0,0;0,0;0;0;51552
204;43;36972;0,0;0,0;0,0;0;0;51552
204;43;36972;0,0;0,0;0,0;0;0;51552
204;46;39504;0,0;0,0;0,0;0;0;62151
204;46;39504;0,0;0,0;0,0;0;0;62151
204;46;39504;0,0;0,0;0,0;0;0;62151
204;46;39504;0,0;0,0;0,0;0;0;62151
204;49;42036;0,0;0,0;0,0;0;0;42374
204;49;42036;0,0;0,0;0,0;0;0;42374
204;49;42036;0,0;0,0;0,0;0;0;42374
204;49;42036;0,0;0,0;0,0;0;0;42374
204;49;42036;0,0;0,0;0,0;0;0;42374
204;52;44567;0,0;0,0;0,0;0;0;1117
204;52;44567;0,0;0,0;0,0;0;0;1117
204;52;44567;0,0;0,0;0,0;0;0;1117
204;55;47099;0,0;0,0;0,0;0;0;29409
204;55;47099;0,0;0,0;0,0;0;0;29409
204;55;47099;0,0;0,0;0,0;0;0;29409
204;55;47099;0,0;0,0;0,0;0;0;29409
204;55;47099;0,0;0,0;0,0;0;0;29409
