"Flug";"Number";"Team ID";"Time_ms";"Gyro x";"Gyro y";"Gyro z";"Accel x";"Accel y";"Accel z";"Mag x";"Mag y";"Mag z";"Bme_press";"Bme_temp";"Bme_humidity";"Bme_height";"Lat";"Lon";"Height";"Fix";"Photo";"Status";"crc"
170;5467;217;793154;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1286;0;29164

170;5468;217;793292;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1250;0;27028

170;5469;217;793430;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1288;0;30871

170;5470;217;793570;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1273;0;1843

170;5471;217;793708;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1257;0;22949

170;5472;217;793846;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1278;0;43964

170;5473;217;794036;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1250;0;49574

170;5474;217;794180;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1288;0;65321

170;5475;217;794320;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1253;0;57267

170;5476;217;794458;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1259;0;50447

170;5477;217;794596;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1270;0;18502

170;5478;217;794736;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1275;0;25490

170;5479;217;794874;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1263;0;15311

170;5480;217;795012;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1257;0;22751

170;5481;217;795152;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1274;0;62752

170;5482;217;795340;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1278;0;9757

170;5483;217;795486;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1285;0;25762

170;5484;217;795624;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1263;0;36950

170;5485;217;795764;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1264;0;26828

170;5486;217;795902;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1271;0;56354

170;5487;217;796040;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1258;0;51853

170;5488;217;796180;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1275;0;3032

170;5489;217;796318;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1257;0;57637

170;5490;217;796456;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1263;0;50035

170;5491;217;796596;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1273;0;58516

170;5492;217;796734;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1257;0;9618

170;5493;217;796872;0;0;0;0;0;0;0;0;0;2;0;225;0;0,0;0,0;0,0;0;1288;0;1391

